objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,cat_bkofhours_cc0.jpg,,,"Book of Hours, Cat beating cymbal, from a marginal cycle of images of the funeral of Renard the Fox",Walters Art Museum Illuminated Manuscripts,2012-08-02,"This is a finely illuminated and iconographically rich Book of Hours, made in England at the end of the thirteenth century. The manuscript is incomplete and misbound. Its main artist can also be found at work in a Bible, Oxford, Bodleian Library Ms. Auct. D.3.2, and a Psalter, Cambridge, Trinity College Cambridge Ms. O.4.16. The manuscript contains a number of unusual texts including the Hours of Jesus Crucified, and the Office of St. Catherine. The patron of the manuscript is not clear: a woman is depicted as praying in many of the initials, but rubrics in the Office of the Dead mention ""freres"". The imagery is marvellously inventive, and the Hours of Christ Crucified are graced with images depicting the Funeral of Reynard the Fox in its margins. In the absence of a Calendar, it is not possible to locate the origin of the manuscript precisely.",cat; illuminated manuscript,"Baltimore, MD",39.299236,-76.609383,"Walters Manuscript W.102, fol. 78v detail",https://www.flickr.com/photos/39699193@N03/7699557280,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,cat_portrait_cc0.jpg,,,Cat - Head and Paw,iezalel7williams,2016-06-11,,,Isle of Pines,49.7311111,-94.5236111,,https://www.flickr.com/photos/181765699@N08/48730948367,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
